sample,taxa,assembly,sra
SAMN10689383,Staphylococcus_aureus,GCF_012274765.1,SRR11016771
SAMN32885235,Staphylococcus_aureus,GCF_028596045.1,SRR23198383
SAMN32885235,Staphylococcus_aureus,GCF_028596045.1,SRR23291422
SAMN03473901,Staphylococcus_aureus,GCF_031572695.1,SRR2046517
SAMN03473902,Staphylococcus_aureus,GCF_031572735.1,SRR2046736
SAMN39523101,Staphylococcus_aureus,GCF_036421395.1,SRR27673310
SAMN38637651,Staphylococcus_aureus,GCF_036961545.2,SRR27997478
SAMN38637690,Staphylococcus_aureus,GCF_037217515.1,SRR28129149
SAMN38637691,Staphylococcus_aureus,GCF_037219465.1,SRR28129138
SAMN38637733,Staphylococcus_aureus,GCF_038096265.1,SRR28320713
SAMN41326869,Staphylococcus_aureus,GCF_041733125.1,SRR28994691
SAMN41326868,Staphylococcus_aureus,GCF_041734765.1,SRR28994692
SAMN43482228,Staphylococcus_aureus,GCF_042865035.1,SRR30551024
SAMN43482220,Staphylococcus_aureus,GCF_042865115.1,SRR30551030
SAMN15016625,Staphylococcus_aureus,GCF_048814825.1,SRR11850413
SAMEA3109324,Staphylococcus_aureus,GCF_900097465.1,ERR829974
SAMEA3109319,Staphylococcus_aureus,GCF_900097565.1,ERR829969
SAMEA48337168,Staphylococcus_aureus,GCF_900155715.1,ERR1794907
SAMEA48334918,Staphylococcus_aureus,GCF_900155725.1,ERR1794904
SAMEA48335668,Staphylococcus_aureus,GCF_900155805.1,ERR1794905
SAMEA48332668,Staphylococcus_aureus,GCF_900155775.1,ERR1794901
