reference,nearest_nonref_assembly,mash_distance
Staphylococcus_aureus_00001_ref.fa.gz,GCF_042865095.1_ASM4286509v1_genomic.fna,0.000656
Staphylococcus_aureus_00002_ref.fa.gz,GCF_031572735.1_ASM3157273v1_genomic.fna,0.000144
Staphylococcus_aureus_00028_ref.fa.gz,GCF_900155805.1_CHUV_6_genomic.fna,0.000906
Staphylococcus_aureus_00104_ref.fa.gz,GCF_050501925.1_A13_15N4_8325_genomic.fna,0.006455
